EPID,PartNumber,,,
110311975,49117,,,
110312015,49440,,,
110312308,23948,,,
110313343,27402,,,
110314120,23623,,,
110314250,95477,,,
110314254,50869,,,
110314290,49360,,,
110314300,93164,,,
110314314,22757,,,
110314344,93126,,,
110314380,49998,,,
110314666,93326,,,
110314746,49368,,,
110316352,23476,,,
110316481,49795,,,
110316491,50210,,,
110316541,49057,,,
110316571,23109,,,
110316581,23273,,,
110316591,49444,,,
110316631,49592,,,
110317162,49627,,,
110318679,93407,,,
110320295,49194,,,
110320315,93691,,,
110320335,49469,,,
110321135,49992,,,
110321195,23945,,,
110322013,23258,,,
110322453,49123,,,
110322787,49803,,,
110322817,49733,,,
110322927,23451,,,
110323007,23663,,,
110323047,23426,,,
110323140,49895,,,
110323210,23774,,,
110323240,49339,,,
110323640,49162,,,
110325518,23480,,,
110325558,23238,,,
110325578,93603,,,
110325808,93486,,,
110327742,93136,,,
110327802,49421,,,
110329576,23876,,,
110329676,23753,,,
110329916,23229,,,
110329946,23889,,,
110329956,23976,,,
110329966,23943,,,
110330006,93123,,,
110330016,49004,,,
110330619,23693,,,
110332105,23450,,,
110332145,93219,,,
110332155,49666,,,
110332357,23941,,,
110334023,93165,,,
110334043,93427,,,
110334073,23468,,,
110335040,49418,,,
110335070,93138,,,
110335130,23301,,,
110335241,23485,,,
110335251,49779,,,
110335411,23225,,,
110335421,93301,,,
110335471,49209,,,
110335711,22768,,,
110335741,23279,,,
110335751,93128,,,
110338104,50302,,,
110338164,49710,,,
110338184,49624,,,
110338466,49918,,,
110338714,23822,,,
110338814,93399,,,
110338934,49598,,,
110339244,23228,,,
110339396,49903,,,
110339416,22614,,,
110339911,93435,,,
110340924,93209,,,
110340934,93488,,,
110340964,93425,,,
110340984,93218,,,
110343647,49700,,,
110346992,49930,,,
110347112,23947,,,
110347188,23252,,,
110347198,49729,,,
110347298,23612,,,
110347318,49239,,,
110347723,49230,,,
110348740,93155,,,
110348790,22764,,,
110348810,93277,,,
110348830,93160,,,
110349029,22639,,,
110349100,93322,,,
110349140,49636,,,
110349170,50670,,,
110349179,93483,,,
110349190,22618,,,
110349219,26207,,,
110349379,23492,,,
110349466,23264,,,
110349546,22951,,,
110349556,22766,,,
110349586,49276,,,
110349606,93131,,,
110350424,23249,,,
110350464,23499,,,
110350484,93492,,,
110350882,23879,,,
110350965,23396,,,
110350985,49451,,,
110351235,50863,,,
110353459,46113,,,
110353499,93679,,,
110353529,93154,,,
110354339,49917,,,
110354349,23613,,,
110354369,49952,,,
110355055,49201,,,
110355095,22924,,,
110355125,93665,,,
110355865,49924,,,
110355895,49662,,,
110356413,49352,,,
110356483,49703,,,
110357383,50815,,,
110357390,50605,,,
110358370,23971,,,
110359024,93479,,,
110361378,50813,,,
110361448,49188,,,
110361718,23700,,,
110361738,93482,,,
110361818,93408,,,
110363444,50805,,,
110363871,93445,,,
110364244,49533,,,
110364251,49957,,,
110364261,50223,,,
110364271,93230,,,
110364321,93657,,,
110364324,93394,,,
110364374,23761,,,
110366937,93124,,,
110368116,49767,,,
110368196,49445,,,
110368386,49792,,,
110368880,23336,,,
110368890,49031,,,
110368960,93690,,,
110370228,50841,,,
110370338,49291,,,
110371098,49300,,,
110371108,23349,,,
110371148,93121,,,
110373126,50222,,,
110373156,49701,,,
110375022,93197,,,
110375052,23419,,,
110375541,49773,,,
110375672,23263,,,
110375692,23494,,,
110375721,23880,,,
110375761,23389,,,
110375802,49502,,,
110375861,93656,,,
110376062,49905,,,
110376122,93477,,,
110376889,49742,,,
110377467,93103,,,
110377477,49907,,,
110377639,23870,,,
110377649,23373,,,
